"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"STAP1",258.281939086035,0.922960793412682,0.264242641990279,8.36817960322717e-05,0.000811357833144626,"Upregulated"
"STAR",155.743897215594,1.24148380319717,0.904356947185512,0.00750539443984384,0.0304215573304234,"Upregulated"
"STARD3NL",396.381694713631,0.377692153196966,0.146352293584119,0.00613360565291923,0.025917134207014,"Upregulated"
"STARD4",283.315100734923,0.621582887065239,0.265915934895755,0.00575551054077942,0.0246914143605811,"Upregulated"
"STARD7",1896.80035348593,0.358227521601118,0.145512531623028,0.00955665335220538,0.036817426568278,"Upregulated"
"STAT1",4790.21702048112,2.2182188988948,0.289129111801773,1.19037759992058e-15,4.2439441390502e-13,"Upregulated"
"STAT3",2717.47483790676,0.466981870162567,0.164230085620303,0.00250768406103153,0.0128292966626106,"Upregulated"
"STAU2",268.464721426686,-0.674158435867368,0.219734143936571,0.000612698115024304,0.00413475065406144,"Downregulated"
"STK11",815.552681415793,-0.381435837785634,0.148841493420411,0.00651993124030321,0.0272268382907049,"Downregulated"
"STK24",1825.08345131436,0.806263033636477,0.111441783254813,1.07610465094863e-13,2.39160764827063e-11,"Upregulated"
"STK24P1",21.9287445749656,0.810165901674364,0.388745301330592,0.00617091277796056,0.026049045478352,"Upregulated"
"STK26",1362.22163383286,0.619377950072058,0.13162115594716,8.6968789866315e-07,1.85111554848538e-05,"Upregulated"
"STK3",274.905498826514,-0.564956438387948,0.186239686872941,0.000923810217961625,0.00574454265683956,"Downregulated"
"STK33",153.111658696745,-0.932071160364287,0.508681515045919,0.00756122592976535,0.0305830393653397,"Downregulated"
"STK38",886.848108711709,-1.01515409825549,0.169293351541748,3.21065224852464e-10,2.43945517931136e-08,"Downregulated"
"STK38L",669.042986868753,0.543454044902184,0.182409242033252,0.00117545198456251,0.00698697805203828,"Upregulated"
"STK40",915.137956752254,0.576889503127632,0.134395704696989,6.39513149568715e-06,9.80644133384357e-05,"Upregulated"
"STOML2",500.507384603641,0.433570186373378,0.161429208308883,0.00392364571087538,0.0181965715583226,"Upregulated"
"STOML3",17.856892097237,2.30557459028255,0.986710444773707,0.000606296827243292,0.00410913172459978,"Upregulated"
"STON2",763.14028669114,-1.39743210944146,0.391478286518891,3.09350436492023e-05,0.000358394790423063,"Downregulated"
"STOX1",38.4434645419583,-0.779965792060017,0.45888687717835,0.0141056282781971,0.0496277994911158,"Downregulated"
"STPG1",34.1190747240431,-0.828867773083014,0.403041398972984,0.00642639467790263,0.0269299289434144,"Downregulated"
"STRAP",787.739935645308,0.662536693516564,0.109129285079495,4.11243460619732e-10,3.02043319381351e-08,"Upregulated"
"STRIP2",86.7485541217182,1.29300971800247,0.942260132283923,0.00682287611532668,0.0281620547423023,"Upregulated"
"STX11",510.278228628879,2.13583887330513,0.371956307688102,5.94909193605802e-10,4.13848822364882e-08,"Upregulated"
"STX17",374.443546280734,-0.725815838912939,0.195601270067705,5.4376118825312e-05,0.00056983375471988,"Downregulated"
"STX1A",80.6912895110598,2.63718259941248,0.609538803778334,7.16688343180949e-07,1.56992620249485e-05,"Upregulated"
"STX4",378.770358852378,-0.566016081966383,0.203376489989098,0.00201427930993238,0.0107991975925243,"Downregulated"
"STX7",759.755524900954,-0.674129407466106,0.171861913293966,2.63733124208291e-05,0.000315612933886467,"Downregulated"
"STXBP1",124.963067619324,-2.76204357033234,0.559038158138676,4.28444516039459e-08,1.48721521358687e-06,"Downregulated"
"STXBP2",352.644159052367,0.621775086557886,0.159207026053775,3.18581761415838e-05,0.000366636831412861,"Upregulated"
"STXBP4",177.364455377222,-1.50754897278389,0.241329210780377,4.09047894868377e-11,4.21688953306176e-09,"Downregulated"
"SUB1P1",112.360811312257,0.545845939548652,0.254940359259904,0.0118217529119834,0.0433368032435675,"Upregulated"
"SUFU",327.554121202624,-1.01148432568501,0.19135152278062,1.98394710507846e-08,7.73377831644823e-07,"Downregulated"
"SUGT1",939.128451533453,-0.404898523054586,0.142785104119379,0.00281503413756384,0.0140653077944905,"Downregulated"
"SUGT1P3",25.1618726576152,-0.975258580410068,0.475752447746506,0.00467891389442828,0.0209498308412745,"Downregulated"
"SULT1A1",216.50065895781,-0.672190207038054,0.23100282270921,0.00101816318948224,0.00621613509154818,"Downregulated"
"SULT1A2",15.8245053354689,1.40756297959033,0.826962159166548,0.00384627504877731,0.0179135925409854,"Upregulated"
"SULT1C4",102.324000368102,-1.34719993506366,0.412840812316191,9.84578064369127e-05,0.000926792322087396,"Downregulated"
"SUMF1",267.068989657931,-0.815462347458012,0.159943229274972,8.174680205461e-08,2.58105723904159e-06,"Downregulated"
"SUMF2",1170.37234530313,0.275288626514941,0.110458459514088,0.00992638288599556,0.0378795373360652,"Upregulated"
"SUMO1",391.091920390955,0.541782950638869,0.167055501611268,0.000492179747421563,0.00348044298248976,"Upregulated"
